index,airline,date_of_journey,Source,destination,route,dep_time,Arrival_time,Duration,Total_stops
1523,Star Air,2025-08-16,Jaipur,Hyderabad,JAI-GOA-HYD,23:30,14:17,8h 30min,1 stop
1524,IndiGo,2020-11-15,Varanasi,Nagpur,VAR-NAG,12:47,20:18,7h 45min,non-stop
1525,IndiGo,2021-02-10,Bangalore,Goa,BAN-PUN-PAT-GOA,07:43,02:41,4h 30min,2 stops
1526,IndiGo,2019-04-16,Pune,Surat,PUN-PAT-SUR,01:52,09:47,6h 0min,1 stop
1527,TruJet,2025-08-11,Pune,Ahmedabad,PUN-GUW-LUC-BHU-AHM,10:36,20:17,2h 30min,3 stops
1528,TruJet,2024-11-10,Delhi,Ahmedabad,DEL-BHU-VAR-AHM,06:44,08:08,8h 0min,2 stops
1529,TruJet,2019-09-05,Patna,Cochin,PAT-PUN-AHM-COC,22:25,00:04,2h 45min,2 stops
1530,Star Air,2021-05-07,Kolkata,Hyderabad,KOL-BAN-HYD,17:56,10:38,1h 0min,1 stop
1531,TruJet,2019-05-16,Mumbai,Pune,MUM-KOL-PUN,21:23,02:58,3h 0min,1 stop
1532,Akasa Air,2024-09-23,Nagpur,Lucknow,NAG-SUR-BAN-LUC,01:06,18:57,3h 45min,2 stops
1533,Akasa Air,2023-10-28,Mumbai,Lucknow,MUM-AHM-LUC,04:10,18:55,15h 0min,1 stop
1534,TruJet,2020-05-06,Bhubaneswar,Jaipur,BHU-PUN-HYD-PAT-JAI,14:21,13:19,7h 30min,3 stops
1535,SpiceJet,2021-04-26,Raipur,Guwahati,RAI-PAT-GUW,06:01,04:50,7h 15min,1 stop
1536,Akasa Air,2025-05-09,Ahmedabad,Bhubaneswar,AHM-SUR-BHU,14:35,02:45,3h 30min,1 stop
1537,Star Air,2024-04-15,Bhubaneswar,Chennai,BHU-CHE,01:47,23:49,10h 30min,non-stop
1538,Star Air,2020-09-27,Guwahati,Jaipur,GUW-CHE-RAI-JAI,13:56,17:16,1h 0min,2 stops
1539,Star Air,2023-01-17,Delhi,Cochin,DEL-COC,06:01,03:50,10h 0min,non-stop
1540,Star Air,2024-07-17,Kolkata,Bangalore,KOL-MUM-BHU-BAN,04:21,15:19,2h 0min,2 stops
1541,AirAsia India,2022-01-17,Ahmedabad,Cochin,AHM-COC,09:32,06:58,12h 30min,non-stop
1542,TruJet,2022-09-22,Ahmedabad,Indore,AHM-SUR-LUC-IND,19:30,05:07,6h 0min,2 stops
1543,GoAir,2023-10-25,Jaipur,Guwahati,JAI-HYD-GUW,23:35,17:38,6h 45min,1 stop
1544,IndiGo,2022-09-24,Cochin,Delhi,COC-DEL,18:23,22:22,1h 30min,non-stop
1545,Vistara,2019-02-18,Chennai,Surat,CHE-BHU-BAN-SUR,10:58,00:09,3h 30min,2 stops
1546,Akasa Air,2022-08-27,Raipur,Goa,RAI-IND-GOA,11:25,15:03,15h 45min,1 stop
1547,SpiceJet,2024-02-24,Mumbai,Jaipur,MUM-PAT-HYD-JAI,21:28,00:59,12h 45min,2 stops
1548,TruJet,2025-11-20,Indore,Kolkata,IND-AHM-DEL-PAT-KOL,11:33,09:50,1h 15min,3 stops
1549,Air India,2019-10-12,Patna,Varanasi,PAT-CHE-VAR,04:35,03:29,10h 15min,1 stop
1550,Vistara,2022-06-16,Nagpur,Indore,NAG-KOL-CHE-IND,13:57,09:08,5h 15min,2 stops
1551,SpiceJet,2023-01-10,Bangalore,Kolkata,BAN-VAR-RAI-MUM-KOL,12:06,21:58,8h 0min,3 stops
1552,Akasa Air,2025-10-05,Nagpur,Patna,NAG-BHU-JAI-PAT,15:53,08:09,5h 45min,2 stops
1553,AirAsia India,2023-09-14,Bhubaneswar,Surat,BHU-KOL-LUC-SUR,23:39,20:49,5h 45min,2 stops
1554,IndiGo,2020-08-21,Bangalore,Kolkata,BAN-PUN-BHU-KOL,22:06,12:49,4h 15min,2 stops
1555,Alliance Air,2019-03-16,Ahmedabad,Indore,AHM-HYD-NAG-KOL-IND,04:35,13:07,2h 0min,3 stops
1556,Star Air,2022-03-22,Ahmedabad,Jaipur,AHM-JAI,06:51,04:13,3h 0min,non-stop
1557,Vistara,2022-07-03,Ahmedabad,Kolkata,AHM-KOL,15:49,23:22,13h 45min,non-stop
1558,Alliance Air,2022-03-28,Lucknow,Kolkata,LUC-KOL,03:40,12:00,8h 30min,non-stop
1559,GoAir,2020-11-14,Bhubaneswar,Surat,BHU-COC-IND-SUR,00:42,20:42,9h 30min,2 stops
1560,Alliance Air,2023-07-08,Varanasi,Goa,VAR-GOA,10:36,18:23,15h 0min,non-stop
1561,Air India,2023-07-04,Nagpur,Cochin,NAG-LUC-SUR-IND-COC,07:38,00:29,8h 0min,3 stops
1562,Akasa Air,2020-11-02,Nagpur,Pune,NAG-PUN,19:26,10:34,12h 45min,non-stop
1563,Air India,2020-02-11,Chennai,Cochin,CHE-NAG-COC,22:20,18:21,5h 15min,1 stop
1564,GoAir,2020-12-04,Raipur,Goa,RAI-NAG-GOA,07:23,13:31,15h 30min,1 stop
1565,IndiGo,2019-03-08,Raipur,Lucknow,RAI-LUC,16:01,17:53,7h 0min,non-stop
1566,TruJet,2023-04-13,Kolkata,Goa,KOL-HYD-GOA,19:16,00:37,6h 0min,1 stop
1567,IndiGo,2022-07-19,Varanasi,Cochin,VAR-LUC-CHE-COC,13:50,18:20,2h 0min,2 stops
1568,Vistara,2020-01-09,Hyderabad,Jaipur,HYD-LUC-MUM-CHE-JAI,01:22,19:33,2h 0min,3 stops
1569,IndiGo,2022-10-05,Lucknow,Bhubaneswar,LUC-BHU,09:34,10:02,11h 45min,non-stop
1570,Alliance Air,2020-03-26,Patna,Bhubaneswar,PAT-GOA-BHU,05:21,18:14,9h 30min,1 stop
1571,SpiceJet,2021-08-25,Kolkata,Ahmedabad,KOL-JAI-DEL-SUR-AHM,13:56,21:45,8h 45min,3 stops
1572,GoAir,2023-01-21,Indore,Kolkata,IND-KOL,19:38,15:17,7h 0min,non-stop
1573,Alliance Air,2022-09-01,Goa,Indore,GOA-BAN-VAR-IND,07:16,08:06,12h 30min,2 stops
1574,Vistara,2022-05-11,Raipur,Bhubaneswar,RAI-BHU,15:26,04:08,10h 0min,non-stop
1575,Star Air,2023-02-26,Delhi,Hyderabad,DEL-AHM-HYD,19:44,18:55,3h 0min,1 stop
1576,AirAsia India,2023-07-17,Cochin,Guwahati,COC-AHM-BHU-LUC-GUW,03:32,04:04,15h 30min,3 stops
1577,IndiGo,2024-01-22,Kolkata,Surat,KOL-DEL-PUN-SUR,13:01,13:05,1h 45min,2 stops
1578,Alliance Air,2025-12-25,Delhi,Jaipur,DEL-JAI,16:44,12:49,14h 0min,non-stop
1579,Alliance Air,2025-11-26,Kolkata,Indore,KOL-CHE-PUN-IND,19:01,16:05,6h 0min,2 stops
1580,TruJet,2021-03-05,Lucknow,Goa,LUC-CHE-KOL-GUW-GOA,10:16,01:36,1h 30min,3 stops
1581,Air India,2019-04-06,Cochin,Lucknow,COC-LUC,01:11,10:46,2h 30min,non-stop
1582,IndiGo,2025-01-17,Mumbai,Bhubaneswar,MUM-PAT-LUC-BHU,06:37,23:10,14h 30min,2 stops
1583,Star Air,2022-01-25,Varanasi,Ahmedabad,VAR-BAN-IND-AHM,13:39,15:50,5h 0min,2 stops
1584,GoAir,2021-02-04,Goa,Varanasi,GOA-VAR,06:38,13:07,11h 45min,non-stop
1585,Alliance Air,2021-09-27,Raipur,Varanasi,RAI-COC-SUR-PAT-VAR,05:38,02:39,10h 0min,3 stops
1586,Star Air,2020-02-22,Pune,Bhubaneswar,PUN-BAN-BHU,07:26,07:00,12h 0min,1 stop
1587,Akasa Air,2023-10-14,Raipur,Cochin,RAI-COC,05:37,15:37,3h 30min,non-stop
1588,IndiGo,2025-12-14,Delhi,Hyderabad,DEL-GOA-BHU-HYD,06:14,12:25,11h 30min,2 stops
1589,SpiceJet,2022-10-16,Bangalore,Jaipur,BAN-LUC-JAI,13:53,12:29,2h 0min,1 stop
1590,IndiGo,2024-09-20,Goa,Chennai,GOA-CHE,23:20,10:47,2h 15min,non-stop
1591,Vistara,2019-06-07,Goa,Mumbai,GOA-PAT-NAG-CHE-MUM,13:45,08:08,6h 15min,3 stops
1592,Air India,2025-08-21,Varanasi,Nagpur,VAR-COC-GUW-IND-NAG,18:15,11:28,13h 15min,3 stops
1593,SpiceJet,2020-05-11,Pune,Kolkata,PUN-GOA-BHU-DEL-KOL,01:16,17:39,9h 45min,3 stops
1594,SpiceJet,2025-11-05,Nagpur,Surat,NAG-SUR,14:52,22:00,13h 45min,non-stop
1595,IndiGo,2021-06-07,Jaipur,Hyderabad,JAI-COC-HYD,02:08,17:29,7h 15min,1 stop
1596,Air India,2022-12-26,Kolkata,Guwahati,KOL-MUM-VAR-PAT-GUW,16:57,14:20,1h 15min,3 stops
1597,IndiGo,2021-12-03,Indore,Hyderabad,IND-RAI-DEL-LUC-HYD,08:45,00:05,6h 45min,3 stops
1598,IndiGo,2020-05-23,Raipur,Mumbai,RAI-MUM,09:51,06:27,10h 30min,non-stop
1599,Akasa Air,2021-01-09,Kolkata,Bhubaneswar,KOL-LUC-GUW-PUN-BHU,07:11,15:15,8h 0min,3 stops
1600,Akasa Air,2025-08-14,Goa,Kolkata,GOA-JAI-KOL,19:42,22:03,9h 0min,1 stop
1601,AirAsia India,2022-11-22,Guwahati,Pune,GUW-VAR-IND-CHE-PUN,07:38,16:56,15h 30min,3 stops
1602,TruJet,2025-05-16,Indore,Ahmedabad,IND-KOL-GOA-BHU-AHM,01:02,06:15,5h 30min,3 stops
1603,SpiceJet,2021-01-26,Goa,Varanasi,GOA-RAI-SUR-VAR,03:56,14:14,2h 45min,2 stops
1604,Air India,2021-02-11,Nagpur,Guwahati,NAG-AHM-GOA-RAI-GUW,23:41,08:17,5h 45min,3 stops
1605,AirAsia India,2019-06-08,Kolkata,Jaipur,KOL-BHU-RAI-VAR-JAI,06:59,23:56,2h 45min,3 stops
1606,TruJet,2021-12-18,Kolkata,Bangalore,KOL-IND-BHU-BAN,22:03,23:01,14h 0min,2 stops
1607,AirAsia India,2021-06-11,Ahmedabad,Indore,AHM-IND,13:17,13:30,6h 30min,non-stop
1608,SpiceJet,2019-04-19,Bhubaneswar,Varanasi,BHU-JAI-LUC-VAR,13:52,13:28,9h 15min,2 stops
1609,Vistara,2022-01-09,Surat,Jaipur,SUR-LUC-KOL-JAI,05:19,17:53,1h 0min,2 stops
1610,IndiGo,2019-02-13,Patna,Surat,PAT-SUR,14:12,09:26,13h 30min,non-stop
1611,SpiceJet,2021-06-19,Cochin,Chennai,COC-JAI-VAR-PAT-CHE,15:25,01:32,9h 15min,3 stops
1612,Vistara,2020-05-16,Chennai,Pune,CHE-BHU-PUN,11:19,19:43,1h 15min,1 stop
1613,SpiceJet,2025-11-18,Delhi,Chennai,DEL-LUC-CHE,16:25,21:15,2h 45min,1 stop
1614,GoAir,2022-02-25,Mumbai,Goa,MUM-RAI-HYD-GOA,17:00,02:42,11h 0min,2 stops
1615,Akasa Air,2022-12-20,Jaipur,Cochin,JAI-CHE-PAT-AHM-COC,04:50,10:34,14h 15min,3 stops
1616,IndiGo,2021-10-20,Lucknow,Hyderabad,LUC-MUM-HYD,07:19,06:46,13h 45min,1 stop
1617,SpiceJet,2023-04-02,Hyderabad,Kolkata,HYD-KOL,20:24,22:56,7h 15min,non-stop
1618,SpiceJet,2020-06-13,Indore,Lucknow,IND-AHM-NAG-LUC,19:21,21:28,15h 30min,2 stops
1619,AirAsia India,2019-10-04,Lucknow,Chennai,LUC-CHE,20:31,17:14,12h 0min,non-stop
1620,Alliance Air,2023-06-20,Bangalore,Cochin,BAN-PUN-GUW-COC,00:17,06:20,8h 45min,2 stops
1621,Akasa Air,2025-11-08,Bhubaneswar,Raipur,BHU-VAR-RAI,03:59,23:21,14h 15min,1 stop
1622,Alliance Air,2019-03-04,Jaipur,Guwahati,JAI-GUW,03:17,20:11,2h 45min,non-stop
1623,Akasa Air,2021-09-18,Bhubaneswar,Mumbai,BHU-RAI-BAN-MUM,03:38,16:59,7h 15min,2 stops
1624,Star Air,2023-09-27,Surat,Indore,SUR-KOL-NAG-VAR-IND,23:59,23:33,10h 15min,3 stops
1625,Air India,2025-12-16,Mumbai,Kolkata,MUM-LUC-PAT-NAG-KOL,23:57,01:00,1h 0min,3 stops
1626,IndiGo,2019-12-14,Pune,Jaipur,PUN-AHM-COC-JAI,03:33,11:08,9h 30min,2 stops
1627,Vistara,2022-09-01,Pune,Kolkata,PUN-PAT-DEL-RAI-KOL,05:20,20:07,14h 45min,3 stops
1628,TruJet,2023-01-03,Delhi,Raipur,DEL-RAI,12:32,00:02,14h 15min,non-stop
1629,Star Air,2021-09-02,Goa,Raipur,GOA-BHU-RAI,00:02,20:59,6h 30min,1 stop
1630,AirAsia India,2022-03-14,Patna,Guwahati,PAT-DEL-GUW,08:43,06:43,1h 15min,1 stop
1631,Alliance Air,2023-11-15,Patna,Jaipur,PAT-KOL-RAI-JAI,19:20,15:08,3h 45min,2 stops
1632,SpiceJet,2022-09-20,Varanasi,Mumbai,VAR-MUM,12:05,17:18,12h 15min,non-stop
1633,GoAir,2019-03-10,Ahmedabad,Chennai,AHM-NAG-BAN-GUW-CHE,08:01,20:53,10h 30min,3 stops
1634,Air India,2023-01-26,Indore,Mumbai,IND-MUM,06:15,23:58,7h 0min,non-stop
1635,Air India,2021-08-26,Chennai,Bangalore,CHE-MUM-SUR-GOA-BAN,11:07,07:07,12h 15min,3 stops
1636,Vistara,2021-01-05,Mumbai,Kolkata,MUM-IND-KOL,04:16,15:33,5h 15min,1 stop
1637,Alliance Air,2019-12-20,Indore,Bhubaneswar,IND-PUN-HYD-PAT-BHU,07:33,00:06,4h 45min,3 stops
1638,AirAsia India,2023-02-02,Kolkata,Goa,KOL-AHM-JAI-GOA,04:53,07:06,14h 15min,2 stops
1639,SpiceJet,2020-02-11,Patna,Varanasi,PAT-SUR-VAR,04:03,02:10,1h 45min,1 stop
1640,AirAsia India,2020-11-14,Hyderabad,Delhi,HYD-JAI-DEL,13:17,01:07,4h 30min,1 stop
1641,Vistara,2023-01-22,Kolkata,Indore,KOL-AHM-CHE-IND,11:00,01:34,15h 15min,2 stops
1642,Star Air,2019-08-08,Jaipur,Nagpur,JAI-SUR-BHU-NAG,05:43,20:16,10h 30min,2 stops
1643,GoAir,2025-03-04,Jaipur,Delhi,JAI-DEL,15:33,13:53,13h 30min,non-stop
1644,SpiceJet,2024-04-14,Ahmedabad,Bangalore,AHM-JAI-KOL-NAG-BAN,19:36,21:29,14h 15min,3 stops
1645,Alliance Air,2025-05-05,Hyderabad,Jaipur,HYD-CHE-COC-PAT-JAI,06:38,09:22,6h 30min,3 stops
1646,TruJet,2023-07-24,Indore,Bhubaneswar,IND-BHU,09:19,01:22,11h 45min,non-stop
1647,Alliance Air,2022-11-19,Raipur,Hyderabad,RAI-BAN-VAR-HYD,00:08,16:50,3h 15min,2 stops
1648,Akasa Air,2019-05-20,Pune,Ahmedabad,PUN-NAG-LUC-HYD-AHM,12:42,07:47,5h 0min,3 stops
1649,IndiGo,2024-03-02,Hyderabad,Lucknow,HYD-GOA-BAN-LUC,22:47,06:50,5h 15min,2 stops
1650,IndiGo,2024-06-21,Kolkata,Varanasi,KOL-IND-SUR-AHM-VAR,09:24,23:48,15h 45min,3 stops
1651,SpiceJet,2020-09-06,Delhi,Bhubaneswar,DEL-AHM-JAI-RAI-BHU,00:45,08:07,9h 15min,3 stops
1652,GoAir,2020-08-01,Nagpur,Cochin,NAG-COC,09:34,04:52,5h 15min,non-stop
1653,Vistara,2023-07-03,Cochin,Nagpur,COC-LUC-NAG,20:07,20:33,14h 0min,1 stop
1654,Star Air,2024-08-26,Lucknow,Pune,LUC-GOA-SUR-PUN,16:27,21:04,1h 45min,2 stops
1655,AirAsia India,2024-08-13,Ahmedabad,Hyderabad,AHM-BAN-HYD,17:39,02:22,6h 45min,1 stop
1656,Vistara,2019-04-02,Jaipur,Bhubaneswar,JAI-AHM-NAG-BHU,07:33,23:27,8h 15min,2 stops
1657,Alliance Air,2025-10-22,Delhi,Bangalore,DEL-BAN,17:20,21:31,15h 45min,non-stop
1658,Alliance Air,2024-09-07,Varanasi,Nagpur,VAR-NAG,04:20,06:05,7h 45min,non-stop
1659,GoAir,2023-01-07,Ahmedabad,Guwahati,AHM-KOL-GUW,22:49,08:04,8h 30min,1 stop
1660,AirAsia India,2022-03-28,Goa,Hyderabad,GOA-DEL-HYD,19:14,08:38,5h 0min,1 stop
1661,AirAsia India,2023-09-05,Kolkata,Lucknow,KOL-GUW-BHU-BAN-LUC,22:02,06:28,9h 0min,3 stops
1662,TruJet,2023-09-26,Goa,Surat,GOA-BHU-SUR,01:02,05:24,13h 15min,1 stop
1663,Vistara,2025-09-22,Delhi,Ahmedabad,DEL-NAG-PAT-KOL-AHM,14:15,17:21,12h 30min,3 stops
1664,SpiceJet,2024-08-05,Guwahati,Chennai,GUW-RAI-IND-CHE,13:28,09:26,3h 30min,2 stops
1665,Star Air,2024-01-13,Ahmedabad,Bangalore,AHM-BAN,16:52,12:44,10h 0min,non-stop
1666,TruJet,2024-07-18,Nagpur,Indore,NAG-GUW-GOA-IND,10:12,20:41,4h 15min,2 stops
1667,Akasa Air,2025-02-06,Patna,Chennai,PAT-RAI-DEL-CHE,17:21,08:37,15h 30min,2 stops
1668,Akasa Air,2019-06-05,Nagpur,Varanasi,NAG-BHU-HYD-PAT-VAR,03:31,02:55,8h 15min,3 stops
1669,Air India,2023-07-19,Ahmedabad,Indore,AHM-IND,16:16,11:30,4h 0min,non-stop
1670,Air India,2019-01-15,Chennai,Bangalore,CHE-DEL-BAN,11:36,06:55,14h 45min,1 stop
1671,TruJet,2020-02-21,Surat,Lucknow,SUR-LUC,22:50,10:59,9h 0min,non-stop
1672,IndiGo,2020-10-03,Pune,Nagpur,PUN-AHM-CHE-VAR-NAG,12:59,18:13,3h 45min,3 stops
1673,Air India,2022-01-04,Jaipur,Pune,JAI-RAI-PUN,06:54,19:56,13h 0min,1 stop
1674,AirAsia India,2024-03-08,Indore,Mumbai,IND-LUC-MUM,21:23,00:39,1h 0min,1 stop
1675,Star Air,2023-07-03,Kolkata,Patna,KOL-LUC-PAT,11:15,12:50,9h 45min,1 stop
1676,Star Air,2024-10-05,Delhi,Bhubaneswar,DEL-HYD-GOA-BHU,15:13,00:24,8h 45min,2 stops
1677,Alliance Air,2020-03-10,Raipur,Delhi,RAI-GOA-BHU-VAR-DEL,05:27,01:51,13h 30min,3 stops
1678,Akasa Air,2020-03-03,Bhubaneswar,Pune,BHU-HYD-NAG-JAI-PUN,01:25,23:44,10h 45min,3 stops
1679,IndiGo,2023-11-09,Cochin,Bhubaneswar,COC-DEL-BHU,05:42,03:51,8h 30min,1 stop
1680,TruJet,2020-05-23,Chennai,Varanasi,CHE-VAR,02:14,02:48,14h 30min,non-stop
1681,AirAsia India,2024-10-11,Chennai,Goa,CHE-GUW-GOA,00:57,03:48,14h 0min,1 stop
1682,Vistara,2019-05-22,Hyderabad,Delhi,HYD-AHM-RAI-DEL,19:26,20:47,9h 45min,2 stops
1683,AirAsia India,2024-07-20,Kolkata,Jaipur,KOL-GUW-DEL-JAI,12:08,13:28,15h 15min,2 stops
1684,TruJet,2019-08-13,Bangalore,Delhi,BAN-GOA-LUC-COC-DEL,14:06,03:58,14h 0min,3 stops
1685,Akasa Air,2020-05-07,Varanasi,Patna,VAR-SUR-BHU-PAT,15:47,22:12,4h 30min,2 stops
1686,Air India,2025-09-01,Bangalore,Bhubaneswar,BAN-JAI-BHU,07:39,20:30,12h 0min,1 stop
1687,Akasa Air,2021-11-17,Cochin,Pune,COC-PUN,16:56,16:42,7h 0min,non-stop
1688,GoAir,2025-08-11,Bhubaneswar,Kolkata,BHU-KOL,09:33,20:12,12h 15min,non-stop
1689,Vistara,2025-01-04,Kolkata,Varanasi,KOL-PUN-PAT-VAR,10:24,04:03,14h 45min,2 stops
1690,IndiGo,2022-12-10,Varanasi,Nagpur,VAR-BAN-DEL-NAG,17:34,09:23,10h 0min,2 stops
1691,Air India,2021-06-10,Ahmedabad,Patna,AHM-MUM-RAI-PAT,13:58,23:50,1h 30min,2 stops
1692,IndiGo,2022-12-07,Surat,Raipur,SUR-RAI,04:48,12:48,7h 0min,non-stop
1693,Air India,2021-11-19,Jaipur,Bhubaneswar,JAI-MUM-BHU,23:05,01:18,12h 45min,1 stop
1694,AirAsia India,2023-02-24,Lucknow,Kolkata,LUC-KOL,13:59,00:41,8h 45min,non-stop
1695,IndiGo,2022-05-23,Goa,Lucknow,GOA-VAR-CHE-LUC,16:37,07:43,14h 15min,2 stops
1696,Star Air,2019-02-24,Varanasi,Kolkata,VAR-PUN-BHU-KOL,18:38,17:32,10h 0min,2 stops
1697,Air India,2024-01-16,Kolkata,Goa,KOL-AHM-CHE-GOA,19:49,19:00,9h 45min,2 stops
1698,Star Air,2023-10-17,Cochin,Goa,COC-GUW-BHU-SUR-GOA,07:22,05:27,11h 45min,3 stops
1699,Alliance Air,2025-10-09,Jaipur,Lucknow,JAI-BHU-LUC,13:21,19:44,5h 0min,1 stop
1700,Star Air,2022-05-04,Surat,Delhi,SUR-PUN-RAI-JAI-DEL,04:39,16:36,3h 15min,3 stops
1701,GoAir,2020-10-16,Jaipur,Varanasi,JAI-SUR-VAR,06:51,07:33,6h 15min,1 stop
1702,GoAir,2023-07-18,Kolkata,Chennai,KOL-PAT-CHE,21:23,23:20,4h 0min,1 stop
1703,Alliance Air,2021-05-28,Raipur,Jaipur,RAI-AHM-BAN-JAI,05:17,20:06,4h 45min,2 stops
1704,Alliance Air,2024-12-25,Lucknow,Guwahati,LUC-BHU-GOA-COC-GUW,12:12,13:02,5h 30min,3 stops
1705,GoAir,2020-10-04,Nagpur,Surat,NAG-SUR,11:02,09:16,4h 0min,non-stop
1706,TruJet,2022-12-01,Cochin,Guwahati,COC-LUC-PAT-NAG-GUW,04:25,00:38,10h 30min,3 stops
1707,Akasa Air,2019-10-25,Guwahati,Goa,GUW-BHU-MUM-KOL-GOA,23:35,16:24,4h 0min,3 stops
1708,SpiceJet,2023-07-15,Nagpur,Guwahati,NAG-PUN-GUW,11:21,00:48,8h 15min,1 stop
1709,Akasa Air,2021-09-14,Bangalore,Pune,BAN-BHU-PUN,14:51,01:15,13h 30min,1 stop
1710,Alliance Air,2025-01-26,Hyderabad,Varanasi,HYD-MUM-PAT-VAR,01:48,14:22,11h 30min,2 stops
1711,TruJet,2019-01-26,Kolkata,Bhubaneswar,KOL-DEL-BHU,10:28,13:51,3h 30min,1 stop
1712,AirAsia India,2019-06-08,Jaipur,Nagpur,JAI-DEL-AHM-NAG,04:52,19:04,2h 0min,2 stops
1713,SpiceJet,2019-09-15,Bangalore,Mumbai,BAN-RAI-MUM,22:26,03:56,5h 45min,1 stop
1714,Air India,2022-09-09,Jaipur,Varanasi,JAI-PUN-VAR,04:26,11:17,1h 0min,1 stop
1715,Akasa Air,2021-07-01,Guwahati,Raipur,GUW-PAT-LUC-RAI,06:27,22:09,3h 15min,2 stops
1716,Alliance Air,2021-11-16,Pune,Patna,PUN-JAI-PAT,13:24,22:57,1h 45min,1 stop
1717,Air India,2020-02-01,Jaipur,Lucknow,JAI-AHM-NAG-GOA-LUC,05:08,08:58,5h 0min,3 stops
1718,TruJet,2023-02-12,Cochin,Guwahati,COC-DEL-GUW,22:00,22:52,12h 30min,1 stop
1719,IndiGo,2020-10-23,Ahmedabad,Chennai,AHM-SUR-JAI-RAI-CHE,02:21,05:27,14h 30min,3 stops
1720,TruJet,2019-06-19,Hyderabad,Bhubaneswar,HYD-RAI-BHU,23:57,18:24,8h 15min,1 stop
1721,Akasa Air,2023-08-23,Delhi,Surat,DEL-CHE-SUR,04:54,02:34,1h 45min,1 stop
1722,Akasa Air,2021-03-25,Ahmedabad,Mumbai,AHM-MUM,19:33,18:31,5h 0min,non-stop
1723,TruJet,2021-12-17,Hyderabad,Delhi,HYD-KOL-DEL,22:25,13:31,14h 45min,1 stop
1724,Air India,2024-07-14,Pune,Kolkata,PUN-GOA-KOL,01:16,17:51,8h 0min,1 stop
1725,IndiGo,2024-05-07,Indore,Jaipur,IND-PAT-BAN-JAI,23:52,13:38,15h 45min,2 stops
1726,Star Air,2021-11-20,Goa,Guwahati,GOA-SUR-VAR-CHE-GUW,07:59,10:08,9h 30min,3 stops
1727,Air India,2020-10-11,Chennai,Jaipur,CHE-LUC-JAI,02:06,18:56,11h 15min,1 stop
1728,GoAir,2023-02-13,Bhubaneswar,Kolkata,BHU-KOL,05:53,10:45,11h 30min,non-stop
1729,Akasa Air,2019-11-17,Lucknow,Jaipur,LUC-VAR-GUW-JAI,09:53,03:25,14h 0min,2 stops
1730,SpiceJet,2023-06-24,Delhi,Surat,DEL-KOL-PUN-SUR,06:20,10:04,14h 30min,2 stops
1731,Akasa Air,2021-07-21,Raipur,Chennai,RAI-DEL-GOA-GUW-CHE,23:27,06:01,6h 0min,3 stops
1732,Alliance Air,2020-01-03,Pune,Surat,PUN-KOL-BAN-GUW-SUR,05:14,05:31,15h 0min,3 stops
1733,TruJet,2024-02-25,Chennai,Varanasi,CHE-AHM-BAN-JAI-VAR,21:58,04:47,13h 30min,3 stops
1734,Vistara,2020-04-15,Guwahati,Chennai,GUW-BHU-CHE,02:04,10:29,4h 45min,1 stop
1735,IndiGo,2023-05-04,Pune,Chennai,PUN-CHE,13:14,23:03,1h 0min,non-stop
1736,SpiceJet,2024-10-16,Chennai,Kolkata,CHE-VAR-KOL,17:31,14:05,1h 45min,1 stop
1737,Alliance Air,2020-11-09,Raipur,Guwahati,RAI-JAI-SUR-CHE-GUW,07:18,14:07,15h 15min,3 stops
1738,AirAsia India,2020-04-09,Hyderabad,Kolkata,HYD-BAN-PAT-JAI-KOL,07:24,10:05,8h 45min,3 stops
1739,AirAsia India,2023-02-05,Hyderabad,Indore,HYD-JAI-MUM-KOL-IND,11:21,06:34,9h 30min,3 stops
1740,Alliance Air,2024-02-14,Cochin,Goa,COC-DEL-GOA,10:59,19:41,12h 0min,1 stop
1741,AirAsia India,2024-03-07,Hyderabad,Goa,HYD-COC-LUC-GOA,18:14,19:57,10h 30min,2 stops
1742,Alliance Air,2021-10-06,Bangalore,Chennai,BAN-CHE,13:24,14:22,11h 30min,non-stop
1743,Star Air,2023-10-19,Varanasi,Cochin,VAR-COC,08:19,13:03,1h 15min,non-stop
1744,Alliance Air,2019-11-18,Bhubaneswar,Jaipur,BHU-RAI-JAI,18:02,12:22,1h 45min,1 stop
1745,Akasa Air,2020-09-02,Nagpur,Hyderabad,NAG-PAT-KOL-AHM-HYD,22:33,18:49,9h 45min,3 stops
1746,TruJet,2024-11-09,Pune,Delhi,PUN-BAN-DEL,18:39,13:54,3h 0min,1 stop
1747,Star Air,2019-07-04,Guwahati,Kolkata,GUW-MUM-KOL,02:30,13:22,5h 30min,1 stop
1748,Air India,2021-12-07,Chennai,Guwahati,CHE-BHU-NAG-GUW,09:40,11:42,13h 0min,2 stops
1749,Alliance Air,2025-07-11,Mumbai,Delhi,MUM-DEL,05:53,17:45,15h 0min,non-stop
1750,SpiceJet,2019-04-23,Mumbai,Indore,MUM-BHU-BAN-IND,05:14,07:02,5h 15min,2 stops
1751,Air India,2024-01-23,Guwahati,Varanasi,GUW-COC-GOA-VAR,02:55,09:53,9h 30min,2 stops
1752,AirAsia India,2019-08-07,Cochin,Hyderabad,COC-LUC-HYD,11:48,14:11,13h 45min,1 stop
1753,Star Air,2023-02-14,Varanasi,Patna,VAR-PAT,17:22,17:29,12h 45min,non-stop
1754,Alliance Air,2024-04-21,Pune,Varanasi,PUN-GUW-VAR,14:10,23:43,12h 30min,1 stop
